Title,Reference No,OCID,Published by,Publication Date,Deadline Date,Deadline Time,Notice Type,Has Documents,Has ESPD,Abstract,Description of the procurement,Award criteria,Additional CPV code(s),Place of performance,Duration of the contract,Variants,Options,EU funds,Estimated date of publication of contract notice,Additional information,Date of dispatch of this notice,Information about Government Procurement Agreement (GPA)
Analytic Software Tool,MAY505660,ocds-r6ebe6-0000767140,Dumfries and Galloway College,21/05/2024,01/07/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"The College requires a software tool designed to look at economic analysis and workforce development in the geographical area of Dumfries and Galloway, Scotland and the United Kingdom.CPV: 48000000, 48000000, 48461000, 48810000, 38221000.","The College requires a software tool designed to look at economic analysis and workforce development in the geographical area of Dumfries and Galloway, Scotland and the United Kingdom.
The software will provide data and an analytic tool to support businesses, Governments, and educational institutions make informed decisions in the labour market trends, economic development strategies and workforce planning.","Criteria below:
Quality criterion: Suitability of the Software
                    / Weighting: 20
Quality criterion: Delivery and implementation:
                    / Weighting: 10
Quality criterion: Support & Maintenance
                    / Weighting: 10
Quality criterion: Training
                    / Weighting: 5
Quality criterion: Sustainability Procurement – Fair Working Practices:
                    / Weighting: 2.5
Quality criterion: Sustainability Procurement – Environmental:
                    / Weighting: 2.5
Price
                    
                      / Weighting: 
                      50","48000000
48461000
48810000
38221000","NUTS code:
UKM9

Main site or place of performance:
Dumfries & Galloway College
Bankend Road
Dumfries
DG1 4FD","Start:
                01/08/2024
End:
                31/07/2027
This contract is subject to renewal: Yes
Description of renewals:
The contract is for 3 years with an optional 1 year plus 1 year extension should both parties agree - Estimated value given is for the full 5 year contract should we agree to extend.","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=767140.,21/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
FLS-118-C Mechanised Harvesting Operations and Associated Services – North & West Regions,APR504017,ocds-r6ebe6-0000761213,Forestry and Land Scotland,26/04/2024,,,01 Prior Information Notice (PIN),Yes,No,"FLS has a requirement to place a contract with an external service provider for the provision of Mechanised Harvesting Operations and Associated Services – North & West Regions. The contract will be for a period of 48 months with the option to extend for an additional 12 months.This contract shall include the following services:Chainsaw - Ground-based chainsaw operations, directly associated with the harvesting operationClearfell Harvest and Extraction – Typically carried out with a Harvester & Forwarder.Thinning Harvest and Extraction – Typically carried out with a Harvester & Forwarder.Harvest OnlyExtraction OnlyWinch WorkSkyline WorkHarvesting and Extraction on Peatland Restoration or Peatland Type Sites – Small scale where identified on harvesting coupes, excludes specialist Peatland ServicesAncillary Requirements – Directly associated with the harvesting operationTraffic ManagementGoal PostsCPV: 77211100, 77211400, 77211300, 77200000, 77231000, 77211300, 77211400, 77200000, 77231000, 77211300, 77211400, 77200000, 77231000.",Lot 1 - Clear fell Harvesting (North Region),,"77211400
77211300
77200000
77231000","NUTS code:
UKM",,,,,31/05/2024,This PIN is for information gathering purposes only and is not a call for competition.,26/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Tender for the Supply of School Transport Services 2024,APR503947,ocds-r6ebe6-0000763613,Angus Council,26/04/2024,27/05/2024,12:00,02 Contract Notice,Yes,Yes,"Tenders are being sought for a number of School conveyance contracts. Operators may bid for as many of these routes as they wishCPV: 34121000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60130000, 60120000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60170000, 60171000, 60140000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60120000, 60112000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140000, 60170000, 60171000, 60112000, 60120000, 60130000, 60140",Tender for the Supply of the Provision of School Transport Services 2024,"Criteria below:
Quality criterion: Maximisation of Passenger Benefit
                    / Weighting: 4
Quality criterion: Environmental Management
                    / Weighting: 4
Quality criterion: Fair Work Practices
                    / Weighting: 2
Price
                    
                      / Weighting: 
                      10","60112000
60120000
60130000
60140000
60170000
60171000","NUTS code:
UKM71

Main site or place of performance:
Angus","Start:
                13/08/2024
End:
                01/07/2027
This contract is subject to renewal: Yes
Description of renewals:
Lot may be extended on an annual basis for up to a further 2 years.","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,Suppliers are advised to allow adequate time for uploading documents and to dispatch the electronic response well in advance of the closing time to avoid any last minute problems.,26/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
Secure Data Environment - Prior Information Notice (PIN),MAY505494,ocds-r6ebe6-0000766952,NHS Greater Glasgow and Clyde,17/05/2024,,,01 Prior Information Notice (PIN),Yes,No,"The West of Scotland Safe Haven at NHS Greater Glasgow and Clyde hosts pseudonymised real-world datasets to support data science for patient benefit. Datasets are presented to researchers in a Secure Data Environment (SDE), with governance and controls to ensure best practice, and software applications to facilitate data science research. A new, scalable and safe SDE is sought to support the West of Scotland Safe Haven research and innovation portfolio.CPV: 72000000, 72000000.","The West of Scotland Safe Haven at NHS Greater Glasgow and Clyde hosts pseudonymised real-world datasets to support data science for patient benefit. Datasets are presented to researchers in a Secure Data Environment (SDE), with governance and controls to ensure best practice, and software applications to facilitate data science research. A new, scalable and safe SDE is sought to support the West of Scotland Safe Haven research and innovation portfolio.",,72000000,"NUTS code:
UKM82

Main site or place of performance:
Glasgow",,,,,30/09/2024,PIN responses required by the 28th of June 2024. Please send to paul.gordon4@ggc.scot.nhs.uk.,17/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Provision of a outline business case for a digital and robotics centre of excellence,MAY504285,ocds-r6ebe6-0000765343,Net Zero Technology Centre Limited,01/05/2024,27/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,Provision of a outline business case for a digital and robotics centre of excellenceCPV: 73110000.,Provision of a outline business case for a digital and robotics centre of excellence,"Criteria below:
Quality criterion: Quality
                    / Weighting: 70%
Price
                    
                      / Weighting: 
                      30%",,"NUTS code:
UKM50","Duration in months: 6
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=765343.,01/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
New Uig Ferry Passenger Terminal Building - Clerk of Works,APR503176,ocds-r6ebe6-0000763947,The Highland Council,16/04/2024,17/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"To provide Clerk of Works services to New Uig Ferry Passenger Terminal BuildingCPV: 71310000, 71520000.",This is an open tender with 70% cost/30% quality element.,"Criteria below:
Quality criterion: Quality
                    / Weighting: 30
Price
                    
                      / Weighting: 
                      70",71520000,"NUTS code:
UKM6","Duration in months: 9
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=763947.,16/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Traffic Management Services Framework 2024-2025,APR504060,ocds-r6ebe6-0000765049,Argyll and Bute Council,29/04/2024,24/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Argyll and Bute Council is looking to appoint contractors to a Traffic Management Services Framework to be used by Roads & Infrastructure Services.  Installing, Maintaining and Removing Temporary Traffic Management on Rural and Urban Roads as per Chapter 8 of standards for safe execution of programmed construction works.CPV: 63712700, 63712700, 34923000, 34996100, 45316212, 34923000, 34996100, 45316212, 63712700, 34923000, 34996100, 45316212, 63712700.","Argyll and Bute Council is looking to appoint contractors to a Traffic Management Services Framework to be used by Roads & Infrastructure Services.  Installing, Maintaining and Removing Temporary Traffic Management on Rural and Urban Roads as per Chapter 8 of standards for safe execution of programmed construction works.",Price is not the only award criterion and all criteria are stated only in the procurement documents,"63712700
34923000
34996100
45316212","NUTS code:
UKM63

Main site or place of performance:
Bute, Cowal, Helensburgh & Lomond","Duration in months: 12
This contract is subject to renewal: Yes
Description of renewals:
In line with the end date of the framework","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=765049.,29/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Prior Information Notice - Sectional Doors Maintenance Service at 11 HIAL Airports,MAY506191,ocds-r6ebe6-0000767777,Highlands and Islands Airports Limited,29/05/2024,,,04 Periodic Indicative Notice (Utilities),Yes,No,"This is a Prior Information Notice (PIN) to inform the supply market of one of 31 forthcoming Infrastructure Maintenance Service Tenders across HIAL Airports in 2024/25.Provision of Sectional Doors Maintenance Services at HIAL's 11 airports (Barra, Benbecula, Campbeltown, Dundee, Inverness, Islay, Kirkwall, Stornoway, Sumburgh, Tiree and Wick John O'Groats).CPV: 50000000, 50700000, 50712000, 50000000.","HIAL requires the provision of sectional doors maintenance at Barra, Benbecula, Campbeltown, Dundee, Inverness, Islay, Kirkwall,  Stornoway, Sumburgh, Tiree and Wick John O’Groats airports.
The provision of a customer focused, professionally managed, high-quality service is required for the duration of the contract term.
The overall purpose of the contract is to achieve the operational performance and customer satisfaction required, whilst ensuring compliance with relevant statutory and mandatory legislation.
The Services covered under the scope include:
-Biannual servicing of doors at six-monthly intervals, maintaining each door mechanically and electrically, where electrical drive and safety features are fitted in accordance with the manufacturer’s recommendations and maintenance instructions;
- Planned maintenance shall include where appropriate to the following;
-	Door, door frame, tracks, door pannels, glazing, seals;
-	Running gear, fixtures and fittings;
-	Electrical drives, controls and safety devices;
-	Crash alarm interface.
- Provision of a door maintenance report;
- Minor works as instructed by HIAL up to a value of GBP250k.
See attached PIN Document for more information on the background to requirement, scope, programme and next steps.",,"50700000
50712000
50000000","NUTS code:
UKM6
UKM61
UKM62
UKM63
UKM64
UKM65
UKM66
UKM71

Main site or place of performance:
HIAL's airports at Barra, Benbecula, Campbeltown, Dundee, Inverness, Islay, Kirkwall, Stornoway, Sumburgh, Tiree and Wick John O'Groats.",,,,,16/09/2024,HIAL is conducting several tender exercises during 2024/25 for various maintenance service contracts across the estate.  An overview of all contract opportunities on offer is included as an attachment to this PIN.,29/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Supply and Installation of Internal Wall Insulation - Village Hall,APR502730,ocds-r6ebe6-0000763084,Chapel of Garioch Village Hall,10/04/2024,03/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"Internal wall insulation installation of village hallCPV: 44111520, 45321000, 45320000.","Remove existing pannelling, install new timber frame and wall insulation material, plasterboard and finishing
Amend and refit electrical fixtures
Remove existing heating radiators and pipework, then refit","Criteria below:
Quality criterion: U value
                    / Weighting: 10
Price
                    
                      / Weighting: 
                      90%","45321000
45320000","NUTS code:
UKM50

Main site or place of performance:
Chapel of Garioch Village Hall
Chapel Close
Inverurie
AB51 5HG","Start:
                03/06/2024
End:
                28/02/2025
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,See Additional Documentation attached,10/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        No"
SIP Trunk,MAY505210,ocds-r6ebe6-0000766599,Scottish Legal Aid Board,14/05/2024,10/06/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"SLAB runs an internal Mitel telephone system consisting of virtual phone switches, protected on the border by a Mitel Border Gateway.  After a major overhaul in 2021, telephony is now provided to users via MS Teams, with inbound/outbound calls routed via the on-prem Mitel telephony solution.  With the exception of a small few (up to 10), all Mitel handsets have been removed, and now only exist within shared meeting rooms in our head office.A SIP line sits between Mitel and MS Teams, and said SIP line is provided and supported outside the scope of this tender.Connectivity to external telephony is currently delivered over SIP with all outbound calls and inbound calls to the organisations 500+ publicly available numbers sharing a 30 concurrent channel connection.  Calls over the SIP trunk are routed to the external IP of our Sangoma SBC.CPV: 64200000, 32412100, 32500000, 32520000, 32522000, 32523000, 32524000, 64200000, 71316000.","SLAB runs an internal Mitel telephone system consisting of virtual phone switches, protected on the border by a Mitel Border Gateway.  After a major overhaul in 2021, telephony is now provided to users via MS Teams, with inbound/outbound calls routed via the on-prem Mitel telephony solution.  With the exception of a small few (up to 10), all Mitel handsets have been removed, and now only exist within shared meeting rooms in our head office.
A SIP line sits between Mitel and MS Teams, and said SIP line is provided and supported outside the scope of this tender.
Connectivity to external telephony is currently delivered over SIP with all outbound calls and inbound calls to the organisations 500+ publicly available numbers sharing a 30 concurrent channel connection.  Calls over the SIP trunk are routed to the external IP of our Sangoma SBC.",Price is not the only award criterion and all criteria are stated only in the procurement documents,"32412100
32500000
32520000
32522000
32523000
32524000
64200000
71316000","NUTS code:
UKM","Duration in months: 36
This contract is subject to renewal: Yes
Description of renewals:
Option to extend for 2 further periods of 12 months","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=766599.,14/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Setting the Table: Guidance Update: Writer,MAY505640,ocds-r6ebe6-0000767131,Scottish Government,21/05/2024,22/05/2024,16:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"1.	This requirement concerns the procurement of a writer to:a.	deliver the complete updated Setting the Table guidance document by the proposed June 2024 publication timeframeb.	make final changes to the current draft guidance document following the informal consultation exercise, including comprehensive feedback on the updated Section 2, previously drafted by an external writer in 2022CPV: 98000000.","1.	This requirement concerns the procurement of a writer to:
a.	deliver the complete updated Setting the Table guidance document by the proposed June 2024 publication timeframe
b.	make final changes to the current draft guidance document following the informal consultation exercise, including comprehensive feedback on the updated Section 2, previously drafted by an external writer in 2022","Criteria below:
Quality criterion: Quality
                    / Weighting: 80
Price
                    
                      / Weighting: 
                      20",,"NUTS code:
UKM75","Duration in working days: 2
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=767131.,21/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Supply and Sale of Promotional Merchandise,APR503588,ocds-r6ebe6-0000764458,Robert Gordon University,22/04/2024,29/05/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"Sales and Supply of Promotional MerchandiseCPV: 39294100, 79342200.",Supply of promotional merchandise to the University with option for direct to customer sales,"Criteria below:
Quality criterion: Product Samples
                    / Weighting: 20
Quality criterion: Service & Delivery
                    / Weighting: 13
Quality criterion: Technical Capability
                    / Weighting: 9
Quality criterion: Order Fulfilment
                    / Weighting: 8
Price
                    
                      / Weighting: 
                      50",79342200,"NUTS code:
UKM50","Duration in months: 36
This contract is subject to renewal: Yes
Description of renewals:
optional extension of 48 months","Variants will be accepted:
            
              No","Options:
            
              Yes
Description of options:
See ITT","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=764458.,22/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
removal of the existing RAAC concrete panel roof deck & associated works,MAY505713,ocds-r6ebe6-0000767221,Dumfries and Galloway Council,21/05/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"The works comprise the removal of the existing RAAC concrete panel roof deck incl. insulation and built up felt, and formation of a new timber joisted roof deck with Polyroof Protec System incl. insulation and weatherproofing.This is the first in a series of RAAC related contracts the Council will be coming to market with for Council buildings across the regionCPV: 45260000, 44114000, 44114200, 45223500, 45262330, 45262300, 45214210, 45260000.","The works comprise the removal of the existing RAAC concrete panel roof decking and formation of new timber joisted roof decking with Polyroof Protec System incl. insulation and weatherproofing.
The works that are included but not limited to:
The works are over the GP Hall, Stage and Dining Hall together with the roof over the 3-storey block.
Establish contractor's compound and isolate the works from the rest of the school.
Establish method for marshalling deliveries.
Apply protection to wall coverings, floorcoverings, furniture, and fittings, etc.
Take down existing ceiling luminaires etc and put into storage for reinstatement, all in accordance with the Electrical Engineer’s proposals.
Take down existing ceilings and dispose off site.
Erect crash deck below the RAAC, and erect external access scaffold and edge protection.
Remove roof coverings, insulation and RAAC panels and dispose off site.
Construct new timber roof decking, all in accordance with the Structural Engineer’s proposals.
Install new Polyroof Protec System incl. insulation and weatherproofing, all in accordance with the manufacturer’s guidance.
Take down and remove scaffold and crash deck from site.
Form new plasterboard ceilings.
Decoration to new ceilings
Reinstate existing ceiling luminaires etc, all in accordance with the Electrical Engineer’s proposals, testing and commissioning.
Uplift floor protection and remove from site.
Clean down work area.
Remove contractor’s compound.",,"44114000
44114200
45223500
45262330
45262300
45214210
45260000","NUTS code:
UKM92

Main site or place of performance:
Gatehouse of Fleet",,,,,27/06/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=767221.,21/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Conservation Surveying Services and Architectural Services 2024-2029,MAY504801,ocds-r6ebe6-0000749887,Orkney Islands Council,08/05/2024,07/06/2024,12:00,02 Contract Notice,Yes,Yes,"The focus of this procurement will be on the delivery of full and interim quinquennial inspections at the Cathedral, over a period of 5 years after which the procurement of these services will commence again. The intention is to undertake the one-off inspections to other historical properties within the first year or two of the contract. This will provide a clear picture of future commitments to facilitate improved budgeting and planning of works.CPV: 71250000.","St Magnus Cathedral
Measured survey and delivery of scaled drawings
Full Quinquennial inspection, 2024
Interim Quinquennial inspection, 2029
Up to 4 other heritage properties - Measured surveys as above complete with inspection, report and long term costed plans of work
Undefined architectural services to develop projects potentially from stage 2-4","Criteria below:
Quality criterion: Quality
                    / Weighting: 40
Price
                    
                      / Weighting: 
                      60",,"NUTS code:
UKM65

Main site or place of performance:
St Magnus Cathedral and other Heritage properties within Orkney","Duration in months: 60
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,"Orkney Islands Council reserves the right to cancel the procurement at any stage and not award a Contract. The expenditure, work or effort",08/05/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
ITQ for the Processing of Wood Waste for Dundee City Council,JUN506601,ocds-r6ebe6-0000768230,Dundee City Council,04/06/2024,18/06/2024,12:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,No,"Dundee City Council is seeking a single contractor to facilitate the processing of wood waste.CPV: 90500000, 90500000.","Processing of Wood Waste arising from recycling centres within Dundee City Council.
All service provision will be on behalf of:
Dundee City Council, Neighbourhood Services, 3 City Square, Dundee, DD1 3BA.
The purchaser requires a suitably experienced supplier to process wood waste from recycling centres within Dundee City Council, in compliance with PAS111:2012.
The Purchasers’ wood is a mixture of Grade A, Grade B and Grade C. It should be noted that all wood will be mixed.  It is a condition of this contract that the Supplier can accept the materials as detailed within PAS111 http://www.wrap.org.uk/content/bsi-pas-111-processing-wood-waste","Criteria below:
Quality criterion: Compliance with the Specification
                    / Weighting: pass/fail
Quality criterion: Service Level Standards
                    / Weighting: pass/fail
Quality criterion: Licences and Operational Requirements
                    / Weighting: pass/fail
Quality criterion: Waste Reception
                    / Weighting: pass/fail
Quality criterion: Health and Safety Practices
                    / Weighting: pass/fail
Quality criterion: Transfer and Disposal Document
                    / Weighting: pass/fail
Quality criterion: Transport and Collection
                    / Weighting: 12.5
Quality criterion: Management Information
                    / Weighting: 2.5
Quality criterion: Recycling Processing Solutions
                    / Weighting: 10
Quality criterion: Security of Product Market
                    / Weighting: 2.5
Quality criterion: Business Continuity
                    / Weighting: 2.5
Price
                    
                      / Weighting: 
                      70",90500000,"NUTS code:
UKM71

Main site or place of performance:
Dundee","Duration in months: 48
This contract is subject to renewal: Yes
Description of renewals:
Initial contract period of 2 years with the option to extend for a further 2 x 1 year periods","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=768230.,04/06/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
"Knab Redevelopment Core Site Infrastructure Works - Lerwick, Shetland",APR503926,ocds-r6ebe6-0000760065,Shetland Islands Council,25/04/2024,08/05/2024,14:00,02 Contract Notice (below GPA/OJEU threshold or call offs of any value),Yes,Yes,"The works will comprise bulk earthworks, the installation of utilities and the formation of an access between Gressy Loan and Lovers Loan, Lerwick.  The project is part of the Knab Redevelopment Programme.CPV: 45100000, 45111290, 45111291, 45112500.",The procurement is a regulated procurement governed by the Public Contracts (Scotland) Regulations 2015. The procedure being followed is a Restricted Procedure.,Price is not the only award criterion and all criteria are stated only in the procurement documents,"45111290
45111291
45112500","NUTS code:
UKM66

Main site or place of performance:
Lerwick, Shetland Islands and as required by the Contracting Authority.","Duration in months: 18
This contract is subject to renewal: No","Variants will be accepted:
            
              No","Options:
            
              No","The procurement is related to a project and/or programme financed by European Union funds:
            
              No",,Please note that it is an essential requirement of the procurement process that Tenderers fully complete and submit a satisfactory Single Procurement Document (SPD) (Scotland) and satisfy all requirements specified or referred to in the Contract Notice.,25/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
Welfare Vehicles Hire,APR502634,ocds-r6ebe6-0000763194,Dumfries and Galloway Council,09/04/2024,,,01 Prior Information Notices (below GPA/OJEU threshold or call offs of any value),No,No,"We require 10 welfare vans, two for each depot across the Region. Initially the hire of the vehicles will be on a short term basis. These vehicles will provide fixed maintenance teams with this facility at the start of their works (fixed [patching works / surface dressing).CPV: 34114300, 34100000, 34113200, 34114000.","The service requires 10 welfare vans, two for each depot across the Region. This will be  be on a short term basis of up to one year.
These vehicles will provide a fixed maintenance teams with this facility at the start of their works (fixed [patching works / surface dressing)
The desired specification of the vehicles is as below:
> Length: 5680 mm
> Width: 2360 mm
> Height: 2538 mm
> Height (unladen): 2606mm
> Loading Height: 542mm
> Loading Height (unladen): 710mm
> Heavy duty locks
> Anti-hijack locking system
> Emergency escape hatch
> Heavy-duty, anti-slip floor
covering in tool area
> ABS as standard
> Reverse bleeper and sensor
The desired facilities are as below:
Minimum 7 x crash tested M1 seats(incl.drivers)
Unisex toilet cubicle inc electric flush cassette toilet
electric cooking unit incl.microwave
Electric hot water facility for drinks
Independent central heating
Hot and cold hand wash facilities
Interior/exterior work lamps
Conference type table for seats in mess area
Pinch bar and shovel storage
Roof & window ventilation
Wet clothes area and drying room
Large rear access step",,"34100000
34113200
34114000","NUTS code:
UKM92

Main site or place of performance:
Dumfries and Galloway",,,,,03/06/2024,NOTE: To register your interest in this notice and obtain any additional information please visit the Public Contracts Scotland Web Site at https://www.publiccontractsscotland.gov.uk/Search/Search_Switch.aspx?ID=763194.,09/04/2024,"The procurement is covered by the Government Procurement Agreement:
                
        Yes"
